date,close,volume,open,high,low
6/6/12,1315.13,0,1285.61,1315.13,1285.61
6/5/12,1285.5,0,1277.82,1287.62,1274.16
6/4/12,1278.18,0,1278.29,1282.55,1266.74
6/1/12,1278.04,0,1309.87,1309.87,1277.25
5/31/12,1310.33,0,1313.09,1319.74,1298.9
5/30/12,1313.32,0,1331.25,1331.25,1310.76
5/29/12,1332.42,0,1318.9,1334.93,1318.9
5/25/12,1317.82,0,1320.81,1324.2,1314.23
5/24/12,1320.68,0,1318.72,1324.14,1310.5
5/23/12,1318.86,0,1316.02,1320.71,1296.53
5/22/12,1316.63,0,1316.09,1328.49,1310.04
5/21/12,1315.99,0,1295.73,1316.39,1295.73
5/18/12,1295.22,0,1305.05,1312.24,1291.98
5/17/12,1304.86,0,1324.82,1326.36,1304.86
5/16/12,1324.8,0,1330.78,1341.78,1324.79
5/15/12,1330.66,0,1338.36,1344.94,1328.41
5/14/12,1338.35,0,1351.93,1351.93,1336.61
5/11/12,1353.39,0,1358.11,1365.66,1348.89
5/10/12,1357.99,0,1354.58,1365.88,1354.58
5/9/12,1354.58,0,1363.2,1363.73,1343.13
5/8/12,1363.72,0,1369.16,1369.16,1347.75
5/7/12,1369.58,0,1368.79,1373.91,1363.94
5/4/12,1369.1,0,1391.51,1391.51,1367.96
5/3/12,1391.57,0,1402.32,1403.07,1388.71
5/2/12,1402.31,0,1405.5,1405.5,1393.92
5/1/12,1405.82,0,1397.86,1415.32,1395.73
4/30/12,1397.91,0,1403.26,1403.26,1394
4/27/12,1403.36,0,1400.19,1406.64,1397.31
4/26/12,1399.98,0,1390.64,1402.09,1387.28
4/25/12,1390.69,0,1372.11,1391.37,1372.11
4/24/12,1371.97,0,1366.97,1375.57,1366.82
4/23/12,1366.94,0,1378.53,1378.53,1358.79
4/20/12,1378.53,0,1376.96,1387.4,1376.96
4/19/12,1376.92,0,1385.08,1390.46,1370.3
4/18/12,1385.14,0,1390.78,1390.78,1383.29
4/17/12,1390.78,0,1369.57,1392.76,1369.57
4/16/12,1369.57,0,1370.27,1379.66,1365.38
4/13/12,1370.26,0,1387.61,1387.61,1369.85
4/12/12,1387.57,0,1368.77,1388.13,1368.77
4/11/12,1368.71,0,1358.98,1374.71,1358.98
4/10/12,1358.59,0,1382.18,1383.01,1357.38
4/9/12,1382.2,0,1397.45,1397.45,1378.24
4/5/12,1398.08,0,1398.79,1401.6,1392.92
4/4/12,1398.96,0,1413.09,1413.09,1394.09
4/3/12,1413.38,0,1418.98,1419,1404.62
4/2/12,1419.04,0,1408.47,1422.38,1404.46
3/30/12,1408.47,0,1403.31,1410.89,1401.42
3/29/12,1403.28,0,1405.39,1405.39,1391.56
3/28/12,1405.54,0,1412.52,1413.65,1397.2
